title,price,pricePerSqft,areaSqft,location,city,bedrooms,bathrooms,furnishing,facing,reraStatus,latitude,longitude,propertyUrl
Sri Sri Enclave,Rs. 52 Lac,3957,1314,"Perungalathur, Chennai",Chennai South,3,2,Semifurnished,1,NO,12.912335,80.092298,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sri-sri-enclave-perungalathur-chennai-south-1314-sq-ft-r1-spid-A78555033
on request ,Rs. 63.95 Lac,5684,N/A,"Old Perungalathur, Chennai",Chennai South,2,2,Unfurnished,5,NO,12.917108,80.088781,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-old-perungalathur-chennai-south-1125-sq-ft-spid-Q81786950
on request ,Rs. 63.9 Lac,5705,N/A,"Old Perungalathur, Chennai",Chennai South,2,2,Unfurnished,3,NO,12.917108,80.088781,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-old-perungalathur-chennai-south-1120-sq-ft-spid-F81786848
Emerald Green Hills,Rs. 75 Lac,6302,N/A,"Perungalathur, Chennai",Chennai South,3,2,Semifurnished,N/A,NO,12.891219,80.113131,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-emerald-green-hills-perungalathur-chennai-south-1190-sq-ft-r1-spid-G75032563
N/A,Rs. 1.15 Crore,5476,N/A,"Urapakkam West, Chennai",Chennai South,3,3,Unfurnished,1,NO,12.862131,80.055627,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-urapakkam-west-chennai-south-2100-sq-ft-r1-spid-O78519073
GRN Apartments,Rs. 38 Lac,4628,821,"Urapakkam, Chennai",Chennai South,2,2,Unfurnished,4,NO,12.858898,80.067614,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-grn-apartments-urapakkam-chennai-south-821-sq-ft-r1-spid-A78448153
SKC Krishna Homes,Rs. 49 Lac,5764,850,"Revathipuram, Urapakkam",Chennai South,3,2,Semifurnished,3,NO,12.862865,80.082257,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-skc-krishna-homes-revathipuram-chennai-south-1070-sq-ft-r1-spid-E78446071
Shriram Paradise,Rs. 42 Lac,4883,750,"Ranga Nagar Extention, Perungalathur",Chennai South,2,2,Unfurnished,3,NO,12.912986,80.080834,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ranga-nagar-extention-chennai-south-860-sq-ft-r1-spid-K78437167
Pranav Casa Essenza,Rs. 36 Lac,5538,650,"Urapakkam, Chennai",Chennai South,2,2,N/A,N/A,NO,12.862819,80.069375,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pranav-casa-essenza-urapakkam-chennai-south-650-sq-ft-r1-spid-I78392495
Kumaran Nagar 4Th Street,"Rs. 23,000",23,1000,"Old Perungalathur, Chennai",Chennai South,2,2,Semifurnished,N/A,NO,12.91717,80.08562,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-kumaran-nagar-4th-street-old-perungalathur-chennai-south-1000-sq-ft-r1-spid-L79494101
F2 3rd cross street Perungalathur,Rs. 35 Lac,6769,517,"Perungalathur, Chennai",Chennai South,1,1,Semifurnished,1,NO,80.220425,12.979635,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-perungalathur-chennai-south-517-sq-ft-r1-spid-Q78369637
F-2 3rd cross street Perungalathur,Rs. 33 Lac,6382,517,"Perungalathur, Chennai",Chennai South,1,1,Unfurnished,1,NO,80.220425,12.979635,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-perungalathur-chennai-south-517-sq-ft-r1-spid-K78369959
ABI Annai Therasa Nagar,"Rs. 18,500",16,N/A,"Urapakkam, Chennai",Chennai South,2,2,Unfurnished,N/A,NO,12.869956,80.067329,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-abi-annai-therasa-nagar-urapakkam-chennai-south-1150-sq-ft-r1-spid-P79439385
MG Nagar Part 7,Rs. 35 Lac,4380,799,"Urapakkam, Chennai",Chennai South,2,2,Unfurnished,4,NO,12.870855,80.06617,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mg-nagar-part-7-urapakkam-chennai-south-799-sq-ft-r1-spid-M78351087
Vishwak Kumaran Nagar Urapakkam,Rs. 36.65 Lac,5736,N/A,"Urapakkam, Chennai",Chennai South,1,1,Unfurnished,N/A,NO,12.826637,80.105193,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-vishwak-kumaran-nagar-urapakkam-urapakkam-chennai-south-639-sq-ft-r1-spid-H78320535
Shriram Park 63,Rs. 1.03 Crore,9626,N/A,"Perungalathur, Chennai",Chennai South,2,2,Unfurnished,N/A,NO,12.902142,80.093945,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1070-sq-ft-spid-I81701072
Emerald Green Hills,Rs. 60 Lac,6230,N/A,"Perungalathur, Chennai",Chennai South,2,2,Semifurnished,1,NO,12.891219,80.113131,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-emerald-green-hills-perungalathur-chennai-south-963-sq-ft-spid-T81655450
kaveri nagar 1st extension,Rs. 1.5 Crore,9664,N/A,"Urapakkam, Chennai",Chennai South,2,3,N/A,N/A,NO,12.86802,80.07245,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-chennai-south-1552-sq-ft-spid-X81642893
Om Saravana,Rs. 39 Lac,4431,880,"New perungalathur, Perungalathur",Chennai South,2,2,N/A,N/A,NO,12.902416,80.096849,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-om-saravana-new-perungalathur-chennai-south-880-sq-ft-spid-X81626595
Vaikuntam Apartment Urapakkam,Rs. 75 Lac,5694,N/A,"Urapakkam, Chennai",Chennai South,2,3,Semifurnished,4,NO,12.86737,80.06986,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vaikuntam-apartment-urapakkam-urapakkam-chennai-south-1317-sq-ft-spid-E81608113
N/A,Rs. 70 Lac,6769,N/A,"Old Perungalathur, Chennai",Chennai South,N/A,0,N/A,N/A,NO,12.917108,80.088781,https://www.99acres.com/residential-land-plot-for-sale-in-old-perungalathur-chennai-south-115-sq-yard-spid-J81607631
