title,price,pricePerSqft,areaSqft,location,city,bedrooms,bathrooms,furnishing,facing,reraStatus,latitude,longitude,propertyUrl
N/A,Rs. 48.88 Lac,4700,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,N/A,NO,12.86802,80.07245,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-116-sq-yard-r1-spid-Q79780635
N/A,Rs. 43.29 Lac,4700,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,N/A,NO,12.86802,80.07245,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-102-sq-yard-r1-spid-B79780755
N/A,Rs. 1.02 Crore,4700,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,N/A,NO,12.86802,80.07245,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-241-sq-yard-r1-spid-Z79780901
Apartments in urapakkam,Rs. 83 Lac,5845,1210,"Urapakkam, Chennai",Chennai South,3,2,Unfurnished,7,NO,12.86802,80.07245,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-urapakkam-chennai-south-1420-sq-ft-spid-R81197775
Luxury Apartment,Rs. 83 Lac,5845,1210,"Vandalur, GST Road",Chennai South,3,2,Unfurnished,5,NO,80.220425,12.979635,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vandalur-chennai-south-1420-sq-ft-spid-M81195633
Rera approved Apartment,Rs. 81 Lac,5785,1200,"New perungalathur, Perungalathur",Chennai South,3,2,Unfurnished,3,NO,12.90622,80.09679,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-new-perungalathur-chennai-south-1400-sq-ft-spid-T81194453
Ready to Move Apartment,Rs. 79.5 Lac,5598,1210,"New perungalathur, Perungalathur",Chennai South,3,2,Unfurnished,1,NO,12.90622,80.09679,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-new-perungalathur-chennai-south-1420-sq-ft-spid-N81179669
Rera Approved Apartment,Rs. 78.06 Lac,5656,1200,"Perungalathur, Chennai",Chennai South,3,2,Unfurnished,1,NO,13.05142114,80.14606477,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-perungalathur-chennai-south-1380-sq-ft-r1-spid-O79236417
Isha Groups,Rs. 79.86 Lac,5664,1270,"New perungalathur, Perungalathur",Chennai South,3,2,Unfurnished,1,NO,12.90487,80.084564,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-new-perungalathur-chennai-south-1410-sq-ft-r2-spid-I78206185
Isha Apartment,Rs. 79.2 Lac,5656,1222,"Urapakkam West, Chennai",Chennai South,3,2,Unfurnished,1,NO,12.862131,80.055627,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-urapakkam-west-chennai-south-1400-sq-ft-r3-spid-W77263407
Athanur Village,Rs. 4.1 Crore,4998,N/A,"Urapakkam West, Chennai",Chennai South,N/A,0,N/A,8,YES,12.862362,80.069388,https://www.99acres.com/residential-land-plot-for-sale-in-athanur-village-urapakkam-west-chennai-south-911-sq-yard-r2-spid-Q77587473
N/A,Rs. 63.49 Lac,2999,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,4,NO,80.220425,12.979635,https://www.99acres.com/residential-land-plot-for-sale-in-vandalur-chennai-south-235-sq-yard-spid-W81700692
"Sai Villas, New Perungalathur, Chennai South",Rs. 68 Lac,6800,N/A,"Archana Nagar, Perungalathur",Chennai South,3,3,Semifurnished,1,YES,12.903312,80.092445,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-archana-nagar-chennai-south-1000-sq-ft-r5-spid-B74854303
N/A,Rs. 65 Lac,7262,895,"SSM Nagar, Perungalathur",Chennai South,2,3,Unfurnished,7,YES,12.89539057,80.11701356,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-ssm-nagar-chennai-south-1100-sq-ft-r1-spid-W79746313
Sai City Square,Rs. 69.55 Lac,6439,920,"SSM Nagar, Perungalathur",Chennai South,2,2,Semifurnished,5,NO,12.89539057,80.11701356,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-ssm-nagar-chennai-south-1080-sq-ft-spid-Q80610991
"Sai City Square, New Perungalathur, Chennai South",Rs. 40.95 Lac,4500,N/A,"Alappakam, Perungalathur",Chennai South,N/A,0,N/A,3,YES,12.89358285,80.11577104,https://www.99acres.com/residential-land-plot-for-sale-in-alappakam-chennai-south-101-sq-yard-r6-spid-N75782435
Homeland Nemra,Rs. 54 Lac,4500,N/A,"Perungalathur, Chennai",Chennai South,N/A,0,N/A,3,YES,12.88189,80.11666,https://www.99acres.com/residential-land-plot-for-sale-in-homeland-nemra-perungalathur-chennai-south-133-sq-yard-spid-J77653517
Shanthi Nagar,Rs. 76.12 Lac,7612,900,"Old Perungalathur, Chennai",Chennai South,2,2,Semifurnished,5,NO,12.917108,80.088781,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-old-perungalathur-chennai-south-1000-sq-ft-spid-K80748373
Perungalathur,Rs. 1.39 Crore,10036,970,"New perungalathur, Perungalathur",Chennai South,3,3,Unfurnished,3,YES,80.220425,12.979635,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-new-perungalathur-chennai-south-1385-sq-ft-spid-C81599811
Shriram Park 63,Rs. 1.39 Crore,14344,969,"Perungalathur, Chennai",Chennai South,3,3,Unfurnished,1,YES,12.902142,80.093945,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-969-sq-ft-spid-O81463745
ON request,Rs. 55.39 Lac,5800,N/A,"Perungalathur, Chennai",Chennai South,2,2,Unfurnished,4,NO,12.890305,80.11515,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-perungalathur-chennai-south-955-sq-ft-spid-E81121141
on request,Rs. 70.88 Lac,5800,N/A,"Perungalathur, Chennai",Chennai South,3,2,Unfurnished,2,NO,13.085528,80.198265,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-perungalathur-chennai-south-1222-sq-ft-spid-M81121295
on request,Rs. 91.88 Lac,7500,N/A,"Perungalathur, Chennai",Chennai South,2,2,Unfurnished,7,NO,13.085528,80.198265,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-perungalathur-chennai-south-1225-sq-ft-spid-V81090273
on request,Rs. 1.29 Crore,7500,N/A,"Perungalathur, Chennai",Chennai South,3,2,Unfurnished,3,NO,13.085528,80.198265,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-perungalathur-chennai-south-1725-sq-ft-spid-N81089813
Rera Approved Apartment,Rs. 77.72 Lac,6476,1200,"New perungalathur, Perungalathur",Chennai South,3,2,Unfurnished,8,NO,13.093916,80.22982,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-new-perungalathur-chennai-south-1380-sq-ft-r3-spid-M73969933
Shubham isha,Rs. 82 Lac,5470,1499,"New perungalathur, Perungalathur",Chennai South,3,2,Unfurnished,3,YES,13.068354,80.17244,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-new-perungalathur-chennai-south-1499-sq-ft-r1-spid-O79240147
SSM Nagar Housing Complex,Rs. 83 Lac,7390,1123,"New perungalathur, Perungalathur",Chennai South,3,2,Unfurnished,N/A,YES,12.8898755,80.1145327,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ssm-nagar-housing-complex-new-perungalathur-chennai-south-1123-sq-ft-r1-spid-M79242471
Shriram Park 63,Rs. 1.02 Crore,8986,N/A,"Perungalathur, Chennai",Chennai South,2,2,Unfurnished,N/A,YES,12.9025098,80.0938922,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1135-sq-ft-r1-spid-R79238995
Shriram Park 63,Rs. 1.5 Crore,11904,1260,"Perungalathur, Chennai",Chennai South,3,2,Unfurnished,3,YES,12.902142,80.093945,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1260-sq-ft-spid-U80091433
N/A,Rs. 90.13 Lac,6736,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,2,NO,12.86802,80.07245,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-149-sq-yard-spid-C81888034
N/A,Rs. 90.4 Lac,6457,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,2,NO,12.86802,80.07245,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-156-sq-yard-spid-O81887740
N/A,Rs. 90.23 Lac,6538,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,2,NO,12.86802,80.07245,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-153-sq-yard-spid-E81887610
N/A,Rs. 90.29 Lac,6619,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,2,NO,12.86802,80.07245,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-152-sq-yard-spid-E81809886
N/A,Rs. 90.29 Lac,6552,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,2,NO,12.86802,80.07245,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-153-sq-yard-spid-U81809760
N/A,Rs. 90.18 Lac,6592,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,2,NO,12.86802,80.07245,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-152-sq-yard-spid-E81785278
N/A,Rs. 90.16 Lac,6600,N/A,"Urapakkam, Chennai",Chennai South,N/A,0,N/A,2,NO,12.86802,80.07245,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-chennai-south-152-sq-yard-spid-D81785158
Sai Enclave,Rs. 49.06 Lac,5350,N/A,"Old Perungalathur, Chennai",Chennai South,2,2,Unfurnished,1,YES,12.917108,80.088781,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-old-perungalathur-chennai-south-917-sq-ft-r2-spid-G78767679
Shriram Park 63,Rs. 1.72 Crore,8056,N/A,"Perungalathur, Chennai",Chennai South,3,2,Unfurnished,2,NO,12.9033632,80.0960782,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-2135-sq-ft-spid-N81308025
perungalathur apartment,Rs. 65 Lac,4980,N/A,"Old Perungalathur, Chennai",Chennai South,3,2,Unfurnished,1,NO,12.917108,80.088781,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-old-perungalathur-chennai-south-1305-sq-ft-spid-Z81249503
Adinath Shantiniketan,Rs. 70.24 Lac,6438,N/A,"Vandalur, GST Road",Chennai South,2,2,Unfurnished,1,NO,12.887698,80.067566,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-adinath-shantiniketan-vandalur-chennai-south-1091-sq-ft-spid-J81228567
Casagrand Primrose,Rs. 48 Lac,3749,N/A,"Perungalathur, Chennai",Chennai South,2,2,Unfurnished,1,NO,12.88922165,80.03226721,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-casagrand-primrose-perungalathur-chennai-south-1119-sq-ft-spid-X81104509
Isha Anandham,Rs. 55.49 Lac,9700,N/A,"New perungalathur, Perungalathur",Chennai South,2,2,Unfurnished,1,NO,12.891064,80.114651,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-isha-anandham-new-perungalathur-chennai-south-572-sq-ft-spid-Z80966229
Lotus garden,Rs. 50.4 Lac,3200,N/A,"Old Perungalathur, Chennai",Chennai South,N/A,0,N/A,5,NO,12.917108,80.088781,https://www.99acres.com/residential-land-plot-for-sale-in-old-perungalathur-chennai-south-175-sq-yard-spid-D81960488
urban garden,Rs. 54.22 Lac,2510,N/A,"Old Perungalathur, Chennai",Chennai South,N/A,0,N/A,1,NO,12.917108,80.088781,https://www.99acres.com/residential-land-plot-for-sale-in-old-perungalathur-chennai-south-240-sq-yard-spid-Q81944150
Urban flats,Rs. 46.5 Lac,5000,930,"Old Perungalathur, Chennai",Chennai South,2,2,Semifurnished,3,NO,12.917108,80.088781,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-old-perungalathur-chennai-south-930-sq-ft-spid-L81850218
Urban flats,Rs. 46 Lac,5111,900,"Old Perungalathur, Chennai",Chennai South,2,2,Semifurnished,3,NO,12.917108,80.088781,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-old-perungalathur-chennai-south-900-sq-ft-spid-X81850048
Ruby flat,Rs. 47 Lac,5053,930,"New perungalathur, Perungalathur",Chennai South,2,2,Semifurnished,3,NO,12.90622,80.09679,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-new-perungalathur-chennai-south-930-sq-ft-spid-J81843364
Ruby flat,Rs. 46.5 Lac,5166,900,"New perungalathur, Perungalathur",Chennai South,2,2,Semifurnished,3,NO,12.90622,80.09679,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-new-perungalathur-chennai-south-900-sq-ft-spid-Z81843174
Ruby flat,Rs. 47 Lac,5053,930,"Perungalathur, Chennai",Chennai South,2,2,Semifurnished,3,NO,13.05142114,80.14606477,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-perungalathur-chennai-south-930-sq-ft-spid-T81842980
urban flats,Rs. 46.8 Lac,5200,900,"Perungalathur, Chennai",Chennai South,2,2,Semifurnished,3,NO,13.05142114,80.14606477,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-perungalathur-chennai-south-900-sq-ft-spid-B81838622
N/A,Rs. 55 Lac,9166,N/A,"Urapakkam West, Chennai",Chennai South,3,3,Unfurnished,5,NO,12.862131,80.055627,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-west-chennai-south-1300-sq-ft-spid-O81835648
N/A,Rs. 40 Lac,6666,N/A,"Vandalur, GST Road",Chennai South,2,2,Unfurnished,5,NO,12.89,80.08,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-vandalur-chennai-south-800-sq-ft-spid-N81834804
Ruby garden,Rs. 76 Lac,3800,N/A,"New perungalathur, Perungalathur",Chennai South,3,3,Semifurnished,1,NO,12.90622,80.09679,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-new-perungalathur-chennai-south-2000-sq-ft-spid-D81832094
Ruby garden,Rs. 53.98 Lac,2499,N/A,"New perungalathur, Perungalathur",Chennai South,N/A,0,N/A,1,NO,12.90622,80.09679,https://www.99acres.com/residential-land-plot-for-sale-in-new-perungalathur-chennai-south-240-sq-yard-spid-G81831850
Ruby garden,Rs. 53.98 Lac,2499,N/A,"Old Perungalathur, Chennai",Chennai South,N/A,0,N/A,1,NO,12.917108,80.088781,https://www.99acres.com/residential-land-plot-for-sale-in-old-perungalathur-chennai-south-240-sq-yard-spid-N81766094
N/A,Rs. 40 Lac,6666,N/A,"Urapakkam, Chennai",Chennai South,2,2,Unfurnished,2,NO,12.86802,80.07245,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-chennai-south-800-sq-ft-spid-D81699680
N/A,Rs. 1.15 Crore,11550,N/A,"Urapakkam, Chennai",Chennai South,4,3,Unfurnished,3,NO,12.86802,80.07245,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-chennai-south-2000-sq-ft-spid-B81562083
N/A,Rs. 93.5 Lac,9350,N/A,"New perungalathur, Perungalathur",Chennai South,3,3,Unfurnished,N/A,NO,12.90622,80.09679,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-new-perungalathur-chennai-south-3000-sq-ft-spid-Z81561095
Techno Apartment,Rs. 1.4 Crore,14736,950,"Old Perungalathur, Chennai",Chennai South,2,2,Semifurnished,2,NO,12.917164,80.085348,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-techno-apartment-old-perungalathur-chennai-south-950-sq-ft-spid-O81311941
N/A,Rs. 1.14 Crore,6300,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,6,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-202-sq-yard-spid-Q81199717
N/A,Rs. 81.46 Lac,6300,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,5,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-144-sq-yard-spid-N81199375
N/A,Rs. 40.57 Lac,6300,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,8,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-72-sq-yard-spid-E81198543
N/A,Rs. 72.8 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,3,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-124-sq-yard-spid-E81197645
N/A,Rs. 69.75 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,3,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-119-sq-yard-spid-R81197471
N/A,Rs. 75.21 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,3,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-129-sq-yard-spid-V81197313
N/A,Rs. 59.41 Lac,6300,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,3,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-105-sq-yard-spid-E81196951
N/A,Rs. 61.29 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,4,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-105-sq-yard-spid-Q81196771
N/A,Rs. 82.22 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,4,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-141-sq-yard-spid-S81196599
N/A,Rs. 96.65 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,2,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-165-sq-yard-spid-V81196393
N/A,Rs. 51.18 Lac,6350,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,2,YES,12.89,80.08,https://www.99acres.com/residential-land-plot-for-sale-in-vandalur-chennai-south-90-sq-yard-spid-M81195839
N/A,Rs. 46.67 Lac,6350,N/A,"New perungalathur, Perungalathur",Chennai South,N/A,0,N/A,1,YES,12.90622,80.09679,https://www.99acres.com/residential-land-plot-for-sale-in-new-perungalathur-chennai-south-82-sq-yard-spid-L81195581
N/A,Rs. 50.38 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,4,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-86-sq-yard-spid-O81194879
N/A,Rs. 58.53 Lac,6300,N/A,"New perungalathur, Perungalathur",Chennai South,N/A,0,N/A,N/A,YES,12.90622,80.09679,https://www.99acres.com/residential-land-plot-for-sale-in-new-perungalathur-chennai-south-103-sq-yard-spid-O81175609
N/A,Rs. 53.05 Lac,6300,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,N/A,YES,80.208038,13.09553,https://www.99acres.com/residential-land-plot-for-sale-in-vandalur-chennai-south-94-sq-yard-spid-J81175173
N/A,Rs. 60.19 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,4,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-103-sq-yard-spid-E81089775
N/A,Rs. 57.59 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,3,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-98-sq-yard-spid-X81089659
N/A,Rs. 74.75 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,6,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-128-sq-yard-spid-D81089255
N/A,Rs. 46.12 Lac,6300,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,5,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-81-sq-yard-spid-P81089087
N/A,Rs. 1.43 Crore,6300,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,4,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-253-sq-yard-spid-V81088975
N/A,Rs. 1.18 Crore,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,3,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-202-sq-yard-spid-U81088787
N/A,Rs. 1.06 Crore,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,7,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-182-sq-yard-spid-Y81088571
N/A,Rs. 81.44 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,3,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-139-sq-yard-spid-O81088257
N/A,Rs. 99.97 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,6,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-171-sq-yard-spid-L81088059
N/A,Rs. 62.4 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,4,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-107-sq-yard-spid-U81087673
N/A,Rs. 40.57 Lac,6300,N/A,"New perungalathur, Perungalathur",Chennai South,N/A,0,N/A,4,YES,12.90622,80.09679,https://www.99acres.com/residential-land-plot-for-sale-in-new-perungalathur-chennai-south-72-sq-yard-spid-K81087183
N/A,Rs. 37.67 Lac,6300,N/A,"DS Nagar, GST Road",Chennai South,N/A,0,N/A,3,YES,12.878789,80.077175,https://www.99acres.com/residential-land-plot-for-sale-in-d-s-nagar-chennai-south-66-sq-yard-spid-O81086879
N/A,Rs. 65 Lac,10833,N/A,"New perungalathur, Perungalathur",Chennai South,2,3,N/A,N/A,YES,80.220425,12.979635,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-new-perungalathur-chennai-south-1074-sq-ft-spid-V81011961
N/A,Rs. 37.67 Lac,6300,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,1,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-66-sq-yard-spid-J80947431
Aira Avenue Vandalur,Rs. 37.49 Lac,6300,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,4,YES,12.887671,80.079033,https://www.99acres.com/residential-land-plot-for-sale-in-aira-avenue-vandalur-vandalur-chennai-south-66-sq-yard-spid-D80947023
Aira Avenue Vandalur,Rs. 59.41 Lac,6300,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,3,YES,12.887671,80.079033,https://www.99acres.com/residential-land-plot-for-sale-in-aira-avenue-vandalur-vandalur-chennai-south-105-sq-yard-spid-A80946827
N/A,Rs. 54.92 Lac,6500,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,3,YES,12.89,80.08,https://www.99acres.com/residential-land-plot-for-sale-in-vandalur-chennai-south-94-sq-yard-spid-E80946305
N/A,Rs. 66.04 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,2,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-113-sq-yard-spid-R80946119
N/A,Rs. 60.45 Lac,6500,N/A,"Venkatesapuram, GST Road",Chennai South,N/A,0,N/A,3,YES,12.888849,80.081128,https://www.99acres.com/residential-land-plot-for-sale-in-venkatesapuram-chennai-south-103-sq-yard-spid-K80945791
N/A,Rs. 67.14 Lac,6500,N/A,"Ganapathy Nagar, GST Road",Chennai South,N/A,0,N/A,N/A,YES,12.897196,80.080072,https://www.99acres.com/residential-land-plot-for-sale-in-ganapathy-nagar-chennai-south-115-sq-yard-spid-B80915601
N/A,Rs. 74.04 Lac,6500,N/A,"Kannadasan Nagar, Mannivakkam, Urapakkam",Chennai South,N/A,0,N/A,3,YES,12.86261778,80.05816708,https://www.99acres.com/residential-land-plot-for-sale-in-kannadasan-nagar-mannivakkam-chennai-south-127-sq-yard-spid-W80913275
N/A,Rs. 60.19 Lac,6500,N/A,"SSM Nagar, Perungalathur",Chennai South,N/A,0,N/A,4,YES,12.89539057,80.11701356,https://www.99acres.com/residential-land-plot-for-sale-in-ssm-nagar-chennai-south-103-sq-yard-spid-R80912619
N/A,Rs. 71.63 Lac,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,1,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-122-sq-yard-spid-A80912291
N/A,Rs. 63 Lac,6300,N/A,"New perungalathur, Perungalathur",Chennai South,N/A,0,N/A,N/A,YES,80.220425,12.979635,https://www.99acres.com/residential-land-plot-for-sale-in-new-perungalathur-chennai-south-111-sq-yard-spid-V80910033
N/A,Rs. 50.59 Lac,6300,N/A,"New perungalathur, Perungalathur",Chennai South,N/A,0,N/A,N/A,YES,80.220425,12.979635,https://www.99acres.com/residential-land-plot-for-sale-in-new-perungalathur-chennai-south-89-sq-yard-spid-U80909925
N/A,Rs. 81.46 Lac,6300,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,N/A,YES,80.220425,12.979635,https://www.99acres.com/residential-land-plot-for-sale-in-vandalur-chennai-south-144-sq-yard-spid-I80909851
N/A,Rs. 81.06 Lac,6500,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,2,YES,12.89,80.08,https://www.99acres.com/residential-land-plot-for-sale-in-vandalur-chennai-south-139-sq-yard-spid-T80909513
N/A,Rs. 66.04 Lac,6500,N/A,"SSM Nagar, Perungalathur",Chennai South,N/A,0,N/A,2,YES,12.89539057,80.11701356,https://www.99acres.com/residential-land-plot-for-sale-in-ssm-nagar-chennai-south-113-sq-yard-spid-I80909411
N/A,Rs. 65.52 Lac,6500,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,1,YES,12.89,80.08,https://www.99acres.com/residential-land-plot-for-sale-in-vandalur-chennai-south-112-sq-yard-spid-D80909323
N/A,Rs. 47.06 Lac,6300,N/A,"New perungalathur, Perungalathur",Chennai South,N/A,0,N/A,N/A,YES,80.220425,12.979635,https://www.99acres.com/residential-land-plot-for-sale-in-new-perungalathur-chennai-south-83-sq-yard-spid-I80909303
N/A,Rs. 1.01 Crore,6500,N/A,"Otteri Extension, GST Road",Chennai South,N/A,0,N/A,3,YES,12.88364671,80.07818613,https://www.99acres.com/residential-land-plot-for-sale-in-otteri-extension-chennai-south-172-sq-yard-spid-V80909059
